Serial Number,Establishments with Certified Products,Certified Products,Category,Certificate Number,Date of Issue,Date of Expiry,Remark
274,Yi Sin Passion Fruit Juice Factory 一心加工部,"Passion Fruit JUICE (800ml(1Kg)±5%/bottle, 2000ml(2.5kg )±5%//bottle ,
4000ml(5Kg)±5%/ bottle, 16000ml(20Kg)±5%/bucket, 19200ml(24Kg)±
5%/bucket) , Passion Fruit (900g±5%/ bottle (seeds), 900g±5%/bottle
(seedless),
17 Kg±5%/ bucket).（Total 2 Items）百香果濃糖果汁 (800毫升
(1Kg)±5%/ 瓶、2000毫升(2.5Kg)±5%/瓶、4000毫升(5Kg)±5%/瓶、
16000毫升(20Kg)±
5%/桶、19200毫升(24Kg)±5%/桶)、一心鮮百香 (900公克±5%/瓶(有籽)
、
900公克±5%/瓶(無籽)、17公斤±5%/桶)（共二項產品）",Beverages,CP93801020225,2025/02/26,2026/02/25,(續)
275,JL Bio International Co. 永利恆能食品科技有限公司,Instant Drink series（Total 5 Items）沖泡飲品系列（共五項產品）,Beverages,CP94401020524,2024/05/14,2025/05/13,
276,"Chuan Sheng Fruits & Vegetables Cooperative 保證責任
屏東縣全勝果菜生產合作社","lemon juice (950ml±5%/bottle, 20kg± 3%/bucket), kumquat juice (950ml±
5%/bot tle, 20kg± 3%/bucket), Passion fruit juice (950ml± 30ml/bottle,
20kg±
3%/bucket)（Total 3 Items）檸檬原汁 (950毫升±5%/瓶、20公斤± 3%/
桶)、金桔原汁 (950毫升±5%/瓶、20公斤±3%/桶)、百香果 (950毫升
±30毫升/ 瓶、20公斤±3%/桶)（共三項產品）",Beverages,CP94901020724,2024/07/30,2025/07/29,
277,"Sung Yeou Enterprise Co., Ltd. 崧羽企業有限公司","SUNG YEOU TEA (20Kg/Page)（Total 1 Item）崧羽茶葉 (20公斤/包)（
共一項產品）",Beverages,CP95001020724,2024/07/23,2025/07/22,
278,Sheng Feng Biotech Green Tea Co. 聖峰生技綠茶,Matcha Powder series（Total 6 Items）抹茶粉系列（共六項產品）,Beverages,CP95601020924,2024/09/24,2025/09/23,
279,"Ching Tian Agriculture Co., Ltd. 青田農業股份有限公
司","【UNCLE LEMON】Lemon Capsule series（Total 6 Items）【檸檬大叔
】檸
檬磚系列（共六項產品）",Beverages,CP96201020125,2025/01/15,2026/01/14,
280,Kai Kombucha Co. 康普食飲股份有限公司,Kombucha series（Total 7 Items）康普茶系列（共七項產品）,Beverages,CP96801020225,2025/02/12,2026/02/11,
281,"Jin Hong Sugar Co., Ltd. 錦翃有限公司","White Gourd Tea Brick series, Solid Sugar series.（Total 7 Items）冬瓜茶
磚系
列、固態糖系列（共七項產品）",Beverages,CP97001020225,2025/02/17,2026/02/16,
282,Grape King Bio Ltd. 葡萄王生技股份有限公司,"Fungus series, Lactic Acid Bacteria series, Yeast series, Bacterial series.（
Total
112 Items）真菌系列、乳酸菌系列、酵母菌系列、細菌系列（共一百
一十二項產品）",Enzymes/Probiotics,AP01501030325,2025/03/29,2027/03/28,(續)
283,Grape King Bio Ltd. 葡萄王生技股份有限公司,"Fungus series, Lactic Acid Bacteria series, Yeast series, Bacterial series.（
Total
112 Items）真菌類系列、乳酸菌類系列、酵母菌類系列、細菌類系列
（共一百一十二項產品）",Enzymes/Probiotics,AP01503030125,2025/01/15,2027/01/14,(續)
284,"Tensall Bio-Tech Co., Ltd. 天賜爾生物科技股份有限公
司","Healthy Food A series, Healthy Food B series.（Total 7 Items）保健食品
A系
列、保健食品B系列（共七項產品）",Enzymes/Probiotics,AP04501031023-1,2023/10/19,2025/10/18,(續)
285,"Tensall Bio-Tech Co., Ltd. 天賜爾生物科技股份有限公
司",Healthy Food C series（Total 5 Items）保健食品C系列（共五項產品）,Enzymes/Probiotics,AP04501031023-2,2023/10/19,2025/10/18,(續)
286,"New Bellus Enterprises Co., Ltd. 麗豐實業股份有限公
司","Medicinal Fungi series, Functional Probiotics series, Nutraceutical series.（
Total
374 Items）真菌系列、乳酸菌系列、保健食品系列（共三百七十四項
產品）",Enzymes/Probiotics,AP07501030424,2024/03/05,2026/03/04,(續)
287,"Biozyme Biotechnology Corporation 大漢酵素生物科技
股份有限公司","Liquid series, Fermented Essence series, Biozyme Powder series.（Total 45
Items）醱酵液系列、醱酵精華系列、酵素粉系列（共四十五項產品）",Enzymes/Probiotics,AP11905031224,2024/12/02,2025/12/01,(續)
288,"Biozyme Biotechnology Corporation 大漢酵素生物科技
股份有限公司",Functional Foods series（Total 8 Items）保健食品系列（共八項產品）,Enzymes/Probiotics,AP11906031224,2024/12/02,2025/12/01,(續)
289,"Biozyme Biotechnology Corporation 大漢酵素生物科技
股份有限公司","AmFit Botanical Beverage (20ml*30packages/box), AmFit Enzyme Drink
(20ml*30packages/box) ( Total 2 Items) 無中文品名、恩錸富-酵佳人醱酵
液
(20ml*30包/盒) (共二項產品)",Enzymes/Probiotics,AP11907030523,2023/05/04,2025/05/03,(續)
290,"GenMont Biotech Incorportation 景岳生物科技股份有
限公司",Probiotics series (Total 65 Items ) 益生菌系列（共六十五項產品）,Enzymes/Probiotics,TP19901030923,2023/09/13,2025/09/12,(續)
291,SYNBIO TECH INC. 生合生物科技股份有限公司,"Single Strain series, Compound Strains series, Other series.（Total 103
Items）
單一菌株系列、複方菌株系列、其他系列（共一百零三項產品）",Enzymes/Probiotics,TP22801031124,2024/11/27,2026/11/26,(續)
292,SYNBIO TECH INC. 生合生物科技股份有限公司,"Probio 17 Complex Powder (1Kg/pack)（Total 1 Item）無中文品名 (1Kg/
包)
（共一項產品）",Enzymes/Probiotics,TP22802031122-1,2024/11/27,2026/11/26,(續)
293,SYNBIO TECH INC. 生合生物科技股份有限公司,"Flora Essentials 14 Sensitive (1Kg/pack), Sunday Natural 22 strains mixture
(1Kg/pack).（Total 2 Items）無中文品名 (1Kg/包)、無中文品名 (1Kg/包
)（
共二項產品）",Enzymes/Probiotics,TP22802031124-2,2024/11/27,2026/11/26,(續)
294,"Taiwan Enzyme Village Co., Ltd. 台灣酵素村股份有限
公司",Enzyme series（Total 3 Items）酵素液系列（共三項產品）,Enzymes/Probiotics,TP29704030923,2023/09/07,2025/09/06,(續)
295,"Taiwan Enzyme Village Co., Ltd. 台灣酵素村股份有限
公司",Fermentation Liquid series（Total 5 Items）發酵液系列（共五項產品）,Enzymes/Probiotics,CP29706031124,2024/11/01,2025/10/31,(續)
296,"Glac Biotech Co., Ltd. 豐華生物科技股份有限公司","Lactic Acid Bacteria series（Total 20 Items）乳酸菌系列（共二十項產品
）",Enzymes/Probiotics,CP41102030324,2024/03/30,2026/03/29,(續)
297,"Ton-An Enzyme Bio-Tech Co., Ltd. 東延酵素科技股份
有限公司","TonAn E nzyme Good Life Enzyme (25 kg /Barrel), TonAn Enzyme Bio-
Enzyme
(25 kg /Barrel), TonAn Enzyme-GOOD LIFE Enzyme (750 ml /Box),
TonAn Enzyme-BIOENZYME (750 ml /Box)（Total 4 Items）東延-百膳
酵為先® -百善生活酵素原液 (25公斤/桶裝)、東延-百膳酵為先® -百膳
酵素原液 (25kg/ 桶裝)、東延-百善生活® 酵素-植物綜合酵素原液(蔬果)
(750 ml/盒裝)、東延-百膳® 酵素-漢方本草複合酵素原液 (750 ml/盒裝)
（共四項產品）",Enzymes/Probiotics,CP58201030924,2024/09/13,2026/09/12,(續)
298,"Yuan Fong Foods Co., Ltd. 原芳食品有限公司","Fruit Chips series, Vegetable Chips series.（Total 27 Items）水果脆片系列
、
蔬菜脆片系列（共二十七項產品）",Enzymes/Probiotics,CP68301031023,2023/10/31,2025/10/30,(續)
299,"Stbio Media, Inc. 上鼎醱酵培養基有限公司","Microbial Fermentation Media series（Total 196 Items）培養基系列（共
一百
九十六項產品）",Enzymes/Probiotics,CP81201030924,2024/09/07,2026/09/06,(續)
300,Biotanico Inc. 港香蘭應用生技股份有限公司,"Externa l Use series, Internal Use series, Healthy Drinks series, Functional
Foods
series, Combination Formulas series.（Total 94 Items）藥品外用系列、藥
品內
服系列、保健飲品系列、機能性食品系列、複方藥品系列（共九十四
項產品）","Medical/Pha rmaceu
tical",AP02902040624,2024/06/13,2026/06/12,(續)
301,"Timing Pharmaceutieal Co., Ltd. PABP Branch. 天明製
藥股份有限公司農科分公司","Combination Formulas series, Single Herb series, OTC Medicine series,
Powder series, Capsule series, Other series.（Total 346 Items）科藥複方系
列、科藥單
方系列、成藥系列、散劑系列、膠囊系列、其他系列（共三百四十六
項產品）","Medical/Pha rmaceu
tical",CP04201040924,2024/09/24,2026/09/23,(續)
302,"Sun Ten Pharmaceutical Co., Ltd. 順天堂藥廠股份有限
公司","Combination Formula series, Single Herb Series, Pills series, Capsule series.
（
Total 548 Items）科藥複方系列、科藥單方系列、科藥丸劑系列、科藥
膠囊系列（共五百四十八項產品）","Medical/Pha rmaceu
tical",CP17301040824,2024/08/15,2025/08/14,(續)
303,"Kaiser Pharmaceutical Co., Ltd. 港香蘭藥廠股份有限公
司","Combi nation Formulas series, Single Herb series, Tablets series, Capsule
series.
（Total 740 Items）科藥複方系列、科藥單方系列、科藥錠劑系列、科
藥膠囊系列（共七百四十項產品）","Medical/Pha rmaceu
tical",TP17501040824,2024/08/19,2025/08/18,(續)
304,"SCI Pharmtech, Inc. 旭富製藥科技股份有限公司","“SCI” N,N,N',N'-tetramethyl-10H-phenothiazine-3,7-diaminium bis
(methanesulphonate) (HMTM) (30.0 kg/drum)（Total 1 Item）無中文品名
(30.0 公斤/桶)（共一項產品）","Medical / P h a rmaceu
t i c al",CP60001041123,2023/11/02,2025/11/01,(續)
305,"Hui Yung Medicine Co., Ltd. 輝陽藥品股份有限公司",Patches series（Total 5 Items）貼布系列（共五項產品）,"Medical/Pha rmaceu
tical",CP60701041124,2024/11/16,2026/11/15,(續)
306,"Leader Nano Biotechnology Pharmaceutical CO., LTd. 領
先奈米製藥生技股份有限公司","Powder & Granules series, Tablets series, Health Capsule series（Total 176
Items）粉&顆粒系列、錠片系列、養生膠囊系列（共一百七十六項產
品）","Medical/Pha rmaceu
tical",CP62601040224,2024/02/27,2026/02/26,(續)
307,"DC BOTANICAL BIOTECHNOLOGY CO., Ltd. 德杏生
物科技股份有限公司",Single Herb series (Total 26 Items) 科藥單方系列 (共二十六項產品),"Medical/Pha rmaceu
tical",CP63901040423,2023/04/25,2025/04/24,(續)
308,Ko Da Pharmaceutical Co. Ltd. 科達製藥股份有限公司,"Single Herb series, Formula series, Tablet, Pill, Capsule series, Single Herb
(Powder) series, Single Herb (Extract Granule) series, Chinese Herbs series,
Health Foods series, OEM Medicinal Product series (Total 966 Items) 單方
系 M
列、複方濃縮系列、錠、丸、膠囊系列 、單味散系列、單味濃縮系列
、飲片系列、食品系列、代工藥品系列 (共九百六十六項產品)",edical/Pharmaceutic,CP73501040723,2023/07/08,2025/07/07,(續)
309,"Wan Ja Shan Brewery Co., Ltd. 萬家香醬園股份有限公
司","NON GMO Soy Sauce series, NON GMO Soy Sauce Paste series, NON
GMO Vegetarian Mushroom Oyster Sauce series（Total 14 Items）非基改
醬汁系
列、非基改醬油膏系列、非基改香菇素蠔油系列（共十四項產品）",Sauce & Paste,AP02103050824,2024/08/28,2026/08/27,(續)
310,"Wan Ja Shan Brewery Co., Ltd. 萬家香醬園股份有限公
司","NON GMO Soy Sauce series（Total 6 Items）非基改醬汁系列（共六項
產品）",Sauce & Paste,AP02104050724,2024/07/31,2025/07/30,
311,"Taiwan Kagome Co., Ltd. 臺灣可果美股份有限公司",Ketchup series (Total 10 Items) 蕃茄醬系列 (共十項產品),Sauce & Paste,AP09301050423,2023/04/12,2025/04/11,(續)
312,"Hwa Nan Food Industrial Co., Ltd. 華南食品工業股份有
限公司",Pickles series (Total 26 Items) 醬菜系列 (共二十六項產品),Sauce & Paste,AP11201050523,2023/05/23,2025/05/22,(續)
313,"Tah Chwen Food Co., Ltd. 大醇食品股份有限公司","Kong Yen Aged Gourmet Rice Vinegar (600ml/bottle, 20L/barrel), Kong
Yen
Black Vinegar (300ml/bottle, 600ml/bottle, 5L/barrel, 20L/barrel), Kong
Yen
Rice Vinegar (300ml/bottle, 600ml/bottle, 20L/barrel).（Total 3 Items）工
研陳
年酢(600毫升/瓶、20公升/桶)、工研烏酢(300毫升/瓶、600毫升/瓶、
5公升
/桶、20公升/桶)、工研糯米酢(300毫升/瓶、600毫升/瓶、20公升/桶)
（共三項產品）",Sauce & Paste,CP14002051024,2024/10/13,2026/10/12,(續)
314,"Wuanchuang Food Industrial Co., Ltd. 丸莊食品工業股
份有限公司","Soy Sauce series, Soy Paste series.（Total 43 Items）醬油系列、油膏系列
（
共四十三項產品）",Sauce & Paste,TP16301050723,2023/07/19,2025/07/18,(續)
315,"Kimlan Foods Co., Ltd. 金蘭食品股份有限公司","Soy Sauce series, Raw Soy Sauce series.（Total 14 Items）醬油系列、生
醬油
系列（共十四項產品）",Sauce & Paste,TP16403051123,2023/11/24,2025/11/23,(續)
316,"Kao Ching Chuan Co., Ltd. 高慶泉股份有限公司","Soy Sauce series, Bean Paste series.（Total 16 Items）醬油系列、豆瓣醬
系列
（共一十六項產品）",Sauce & Paste,AP18501050823,2023/09/01,2025/08/31,(續)
317,"San Ying Foods Co., Ltd. 三鷹食品有限公司","Soy Sauce series, Pickles series, Pickled Black Bean & Bean Paste series.（
Total
119 Items）醬油系列、醬菜系列、豆豉&豆瓣醬系列（共一百一十九項
產品）",Sauce & Paste,TP20001050923,2023/09/14,2025/09/13,(續)
318,"Pao Chi Chung Enterprises Corporation 寶之川股份有限
公司","Spices Sauce series, Spices Powder series, Spices Oil series, Dried Spices
series.
（Total 42 Items）香辛料醬系列、香辛料粉系列、香辛料油系列、香辛
料
乾系列（共四十二項產品）",Sauce & Paste,CP28701050524,2024/05/27,2026/05/26,(續)
319,UTC Foods Corporation 聯夏食品工業股份有限公司,"Jam & Jelly series, Fruit Chunks series.（Total 17 Items）果醬&果凍系列
、果
塊系列（共十七項產品）",Sauce & Paste,CP29207051123,2023/11/20,2025/11/19,(續)
320,"FuFann Enterprise Co., Ltd. 福汎企業股份有限公司","Spreads series, Syrup series (Total 30 Items) 抹醬系列、糖漿系列 (共三十
項產品)",Sauce & Paste,TP31602050723,2023/07/05,2025/07/04,(續)
321,"Master Sauce Co., Ltd. 狀元醬油股份有限公司","Pickle series, Soy Sauce series（Total 22 Items）醬菜系列、醬油系列（
共二
十二項產品）",Sauce & Paste,TP34001051224,2024/12/29,2025/12/28,(續)
322,Agv Products Corporation 愛之味股份有限公司,"Soken V egetarian Barbecue Sauce (260g/Can, 737g/Can, 2800g/Can),
Soken
Vegetarian Barbecue Sauce (18kg/Can), Spicy Chili Sauce (737g/Can,
2750g/Can).（Total 3 Items）愛之味素食沙茶醬(素健) (260公克/罐、
737公克/罐、2800公克/罐)、愛之味素食沙茶醬(素健) (18公斤/罐)、
愛之味漢方麻辣醬 (737公克/罐、2750公克/罐)（共三項產品）",Sauce & Paste,CP37601050524,2024/05/01,2026/04/30,(續)
323,"Shih Horng Foods Co., Ltd. 世鴻食品股份有限公司",Jam series（Total 34 Items）果醬系列（共三十四項產品）,Sauce & Paste,CP47401050924,2024/09/05,2026/09/04,(續)
324,President Kikkoman Inc. 統萬股份有限公司,"Kikkoman H Soy Sauce (1000kg/barrel, 1100kg/barrel, 12 kg/barrel)（Total
1
Item）龜甲萬H原味醬汁 (1000公斤/桶、1100公斤/桶、12公斤/桶)（
共一項產品）",Sauce & Paste,CP61201051224,2024/12/19,2026/12/18,(續)
325,E-Der Biotechnology Ltd. 一德生技有限公司,"Filling series, Other series.（Total 16 Items）抹醬系列、其他系列（共十
六項產品）",Sauce & Paste,CP62401050125,2025/01/31,2027/01/30,(續)
326,"MARU TSENG Co., Ltd. 千豪有限公司","Virin-NA ( 25*1 KG/drum), Chin Ku Jin (25*1 KG/ctn), Virin (25*1
KG/drum)
（Total 3 Items）無中文名稱、無中文名稱、無中文名稱（共三項產品
）",Sauce & Paste,CP63302050325,2025/03/16,2027/03/15,(續)
327,"Jih Kuang Canned Food Factory Co., Ltd. 日光食品工廠
股份有限公司","U Chiou Bra nd Sweentened Condensed Milk (360g/can, 720g/can,
3.64kg/can,
24kg/can), Plum Blossoms Condensed Milk (390g/can) (Total 2 Items) 日光
烏鶖
牌煉乳(360公克/鐵罐、720公克/鐵罐、3.64公斤/鐵罐、24 公斤/鐵罐)
、日光梅花奶水(390公克/鐵罐) (共二項產品)",Sauce & Paste,CP66001050823,2023/08/15,2025/08/14,(續)
328,"Dragon Lake Food Co., Ltd. 龍潭食品股份有限公司",Vinegar series（Total 7 Items）醋系列（共七項產品）,Sauce & Paste,CP72302050124,2024/01/25,2026/01/24,(續)
329,Aijia Food Company Ltd. 愛加食品有限公司,"Spread series, Chocolate Flavored Thin Slices series, Chocolate Flavored
Bricks
series.（Total 7 Items）抹醬系列、巧克力風味薄片系列、巧克力風味磚
系
列（共七項產品）",Sauce & Paste,CP90501050124,2024/01/16,2026/01/15,(續)
330,"Ruei Chun Sauce Co., Ltd. 瑞春醬油有限公司","RUEI CHUN SAUCE Vegetarian meat (320g±5％∕Bottle, 180g±7％∕Bottle),
RUEI CHUN SAUCE Preserved Black Beanh (350g±5％∕Bottle, 180g±7％∕
Bottle), RUEI CHUN SAUCE Vegetarian Meat Sauce (320g±5％∕Bottle),
RUEI CHUN SAUCE Sauerkraut Chilli (170g±7％∕Bottle).（Total 4 Items
）
瑞春醬油素瓜仔肉（純素） (320克±5％∕罐、180克±7％∕罐)、瑞春醬油
黑豆蔭豆豉（純素） (350克±5％∕罐、180克±7％∕罐)、瑞春醬油素瓜仔
肉（純素） (320克±5％∕罐)、瑞春醬油酸菜辣椒（純素） (170克±7%∕
罐)（共四項產品）",Sauce & Paste,CP92801050924,2024/09/19,2025/09/18,(續)
331,"Shine-Ball Biotechnology Co., Ltd. 雄霸生物科技有限
公司","Flour & Cereal series, Other series.（Total 110 Items）穀粉&麥片系列、
其他
系列（共一百一十項產品）",Leisure Food,AP03301060724,2024/07/25,2025/07/24,(續)
332,"Shi Shin Food Co., Ltd. 世鑫食品股份有限公司","Canned Food series, Juice & Syrup series, Topping series.（Total 133 Items
）罐
頭系列、果汁&糖漿系列、配料系列（共一百三十三項產品）",Leisure Food,AP06301060125,2025/01/03,2026/01/02,(續)
